date,open,high,low,close,volume,adj_close,pos,neu,neg,pos_minus_neg,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24,target_25,target_26,target_27,target_28,target_29,target_30,log_return,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,delta_1,delta_5,delta_10,mom_10,open_l,high_l,low_l,close_l,adj_close_l,volume_l,dow
2008-08-19,11478.089844,11478.169922,11318.5,11348.549805,171580000,11348.549805,0.042369388,0.9428381,0.014792562,0.027576827,-0.4929562,-0.26233253,-0.75264984,0.76413244,0.49416906,-0.79525316,0.12794475,0.13052128,-0.19994368,0.5644331,0.68980837,-0.14297014,0.6513468,-0.5329137,-0.28865737,0.8392079,0.41120893,68.87988299999961,81.66015599999992,279.5097649999989,37.70019499999944,64.32031199999983,153.95996099999866,366.6298829999996,195.41015599999992,168.37011699999857,184.33007799999905,-160.31933600000048,-127.58984400000008,162.19042900000022,-117.81933600000048,-79.62988300000143,85.16015599999992,73.44042900000022,-431.04003900000134,-289.53027400000065,-738.8896490000006,-328.859375,39.890625,-332.859375,-494.3798830000014,-523.3798830000014,-326.4902350000011,-205.41992200000095,-983.0996100000011,-497.88964900000065,-517.4794930000007,-0.011463257648020121,-0.015602415162466429,0.0037782330561554295,0.007168385485975469,-0.009450576108441923,-0.011943020148448598,0.004084707906469463,,-130.83984299999975,-293.91992199999913,,,11659.650391,11690.429688,11434.120117,11479.389648,11479.389648,18.86722382021674,1
2008-08-20,11345.94043,11454.150391,11290.580078,11417.429688,144880000,11417.429688,0.043196633,0.77223915,0.18456419,-0.14136757,-0.54368263,-0.35488877,-0.69400454,0.5969636,0.3984626,-0.5716751,0.08581566,0.28274634,-0.17267917,0.49453384,0.48141184,-0.19834925,0.56160295,-0.47803104,-0.46205303,0.56229657,0.13553734,12.780273000000307,210.62988199999927,-31.17968800000017,-4.559570999999778,85.08007799999905,297.75,126.5302730000003,99.49023399999896,115.45019499999944,-229.19921900000008,-196.4697269999997,93.31054600000061,-186.69921900000008,-148.50976600000104,16.280273000000307,4.560546000000613,-499.91992200000095,-358.41015700000025,-807.7695320000003,-397.7392579999996,-28.98925799999961,-401.7392579999996,-563.259766000001,-592.259766000001,-395.37011800000073,-274.29980500000056,-1051.9794930000007,-566.7695320000003,-586.3593760000003,-934.5800789999994,0.0060511425127483705,-0.011463257648020121,-0.015602415162466429,0.0037782330561554295,0.007168385485975469,-0.009450576108441923,-0.011943020148448598,0.004084707906469463,68.87988299999961,-115.5302730000003,,,11478.089844,11478.169922,11318.5,11348.549805,11348.549805,18.96056019393728,2
2008-08-21,11415.230469,11476.209961,11315.570312,11430.209961,130020000,11430.209961,0.0010487912,0.77783525,0.22111595,-0.22006716,-0.5230487,-0.16271809,-0.82303697,0.7253,0.36573032,-0.7110309,0.07665489,0.15426345,-0.28605175,0.4141487,0.6986914,-0.2558819,0.61393964,-0.34611523,-0.43206197,0.5986574,0.10816138,197.84960899999896,-43.959961000000476,-17.339844000000085,72.29980499999874,284.9697269999997,113.75,86.70996099999866,102.66992199999913,-241.9794920000004,-209.25,80.5302730000003,-199.4794920000004,-161.29003900000134,3.5,-8.219726999999693,-512.7001950000013,-371.19043000000056,-820.5498050000006,-410.5195309999999,-41.769530999999915,-414.5195309999999,-576.0400390000013,-605.0400390000013,-408.15039100000104,-287.08007800000087,-1064.759766000001,-579.5498050000006,-599.1396490000006,-947.3603519999997,-1104.8300780000009,0.0011187391371098511,0.0060511425127483705,-0.011463257648020121,-0.015602415162466429,0.0037782330561554295,0.007168385485975469,-0.009450576108441923,-0.011943020148448598,12.780273000000307,-185.7197269999997,,,11345.94043,11454.150391,11290.580078,11417.429688,11417.429688,18.791416378441696,3
2008-08-22,11426.790039,11632.129883,11426.790039,11628.05957,138790000,11628.05957,0.10060889,0.7380093,0.16138184,-0.060772944,-0.44253075,-0.16207725,-0.6680544,0.77578133,0.36518613,-0.70213693,0.009045593,0.13411772,-0.3248162,0.43194208,0.51077366,-0.18958707,0.57507676,-0.49250257,-0.42605618,0.64751166,0.2469068,-241.80956999999944,-215.18945299999905,-125.54980400000022,87.12011800000073,-84.09960899999896,-111.1396480000003,-95.17968699999983,-439.82910099999935,-407.09960899999896,-117.31933599999866,-397.32910099999935,-359.1396480000003,-194.34960899999896,-206.06933599999866,-710.5498040000002,-569.0400389999995,-1018.3994139999995,-608.3691399999989,-239.61913999999888,-612.3691399999989,-773.8896480000003,-802.8896480000003,-606.0,-484.92968699999983,-1262.609375,-777.3994139999995,-796.9892579999996,-1145.2099609999987,-1302.6796869999998,-1672.5595699999994,0.01716125873317864,0.0011187391371098511,0.0060511425127483705,-0.011463257648020121,-0.015602415162466429,0.0037782330561554295,0.007168385485975469,-0.009450576108441923,197.84960899999896,-31.840820999999778,-106.26074200000039,-0.009096802235739998,11415.230469,11476.209961,11315.570312,11430.209961,11430.209961,18.683198850431722,4
2008-08-25,11626.19043,11626.269531,11362.629883,11386.25,148610000,11386.25,0.0030247986,0.9025803,0.09439488,-0.091370076,-0.6029998,-0.23857683,-0.7819186,0.68107414,0.45907393,-0.6909268,0.060680747,0.11702786,-0.27738115,0.35032016,0.5905223,-0.34994423,0.6423496,-0.37013546,-0.2693483,0.7884388,0.2563113,26.62011700000039,116.25976599999922,328.92968800000017,157.70996100000048,130.66992199999913,146.6298829999996,-198.01953099999992,-165.29003899999952,124.49023400000078,-155.51953099999992,-117.33007800000087,47.459961000000476,35.74023400000078,-468.7402340000008,-327.2304690000001,-776.5898440000001,-366.55956999999944,2.1904300000005605,-370.55956999999944,-532.0800780000009,-561.0800780000009,-364.19043000000056,-243.1201170000004,-1020.7998050000006,-535.5898440000001,-555.1796880000002,-903.4003909999992,-1060.8701170000004,-1430.75,-1939.1396480000003,-0.021014618585640604,0.01716125873317864,0.0011187391371098511,0.0060511425127483705,-0.011463257648020121,-0.015602415162466429,0.0037782330561554295,0.007168385485975469,-241.80956999999944,-93.1396480000003,-396.0996090000008,-0.03419612872785016,11426.790039,11632.129883,11426.790039,11628.05957,11628.05957,18.748472564537153,0
2008-08-26,11383.55957,11436.240234,11340.410156,11412.870117,119800000,11412.870117,0.047057323,0.69324416,0.25969848,-0.21264116,-0.5072811,-0.14179443,-0.83126974,0.6656175,0.39479864,-0.76548004,0.04475483,0.16529483,-0.44900128,0.44744098,0.5820776,-0.25268143,0.63300914,-0.40661904,-0.48837772,0.6671891,0.28486902,89.63964899999883,302.3095709999998,131.08984400000008,104.04980499999874,120.00976599999922,-224.6396480000003,-191.91015599999992,97.87011700000039,-182.1396480000003,-143.95019500000126,20.839844000000085,9.120117000000391,-495.3603510000012,-353.8505860000005,-803.2099610000005,-393.17968699999983,-24.42968699999983,-397.17968699999983,-558.7001950000013,-587.7001950000013,-390.81054700000095,-269.7402340000008,-1047.419922000001,-562.2099610000005,-581.7998050000006,-930.0205079999996,-1087.4902340000008,-1457.3701170000004,-1965.7597650000007,-2154.7705079999996,0.0023351891617093014,-0.021014618585640604,0.01716125873317864,0.0011187391371098511,0.0060511425127483705,-0.011463257648020121,-0.015602415162466429,0.0037782330561554295,26.62011700000039,64.32031199999983,-229.5996099999993,-0.019917919417692158,11626.19043,11626.269531,11362.629883,11386.25,11386.25,18.816835989463776,1
2008-08-27,11412.459961,11554.459961,11381.769531,11502.509766,120580000,11502.509766,0.0653926,0.83424777,0.10035963,-0.034967024,-0.4606965,-0.28955513,-0.84814316,0.73776686,0.5074971,-0.69618094,0.08117864,0.121433,-0.2356015,0.5830157,0.6585505,-0.20801601,0.59321856,-0.40450424,-0.39943287,0.7020899,0.40952483,212.66992200000095,41.45019500000126,14.410155999999915,30.37011700000039,-314.27929699999913,-281.54980499999874,8.230468000001565,-271.77929699999913,-233.58984400000008,-68.79980499999874,-80.51953199999843,-585.0,-443.4902349999993,-892.8496099999993,-482.81933599999866,-114.06933599999866,-486.81933599999866,-648.3398440000001,-677.3398440000001,-480.4501959999998,-359.3798829999996,-1137.0595709999998,-651.8496099999993,-671.4394539999994,-1019.6601569999984,-1177.1298829999996,-1547.0097659999992,-2055.3994139999995,-2244.4101569999984,-2923.3193359999987,0.007823575841353066,0.0023351891617093014,-0.021014618585640604,0.01716125873317864,0.0011187391371098511,0.0060511425127483705,-0.011463257648020121,-0.015602415162466429,89.63964899999883,85.08007799999905,-30.45019500000126,-0.0026437674678971104,11383.55957,11436.240234,11340.410156,11412.870117,11412.870117,18.601334251992867,2
2008-08-28,11499.870117,11715.179688,11499.790039,11715.179688,149150000,11715.179688,0.14336048,0.77516955,0.08146999,0.061890487,-0.47029424,-0.30033168,-0.6900523,0.7316711,0.51439947,-0.6922419,-0.00081375154,0.089749515,-0.40589643,0.52703047,0.47890222,-0.26153892,0.5006348,-0.5219831,-0.4309154,0.67331594,0.19964989,-171.2197269999997,-198.25976600000104,-182.29980500000056,-526.9492190000001,-494.2197269999997,-204.4394539999994,-484.4492190000001,-446.25976600000104,-281.4697269999997,-293.1894539999994,-797.669922000001,-656.1601570000003,-1105.5195320000003,-695.4892579999996,-326.7392579999996,-699.4892579999996,-861.009766000001,-890.009766000001,-693.1201180000007,-572.0498050000006,-1349.7294930000007,-864.5195320000003,-884.1093760000003,-1232.3300789999994,-1389.7998050000006,-1759.6796880000002,-2268.0693360000005,-2457.0800789999994,-3135.9892579999996,-3263.9892579999996,0.01832015804643471,0.007823575841353066,0.0023351891617093014,-0.021014618585640604,0.01716125873317864,0.0011187391371098511,0.0060511425127483705,-0.011463257648020121,212.66992200000095,284.9697269999997,99.25,0.008508005092562016,11412.459961,11554.459961,11381.769531,11502.509766,11502.509766,18.607823999318782,3
2008-08-29,11713.230469,11713.230469,11543.389648,11543.959961,166910000,11543.959961,0.0006093018,0.7396823,0.25970843,-0.25909913,-0.5082333,-0.23152596,-0.9201336,0.7221017,0.3469308,-0.77112067,0.12840767,0.121762276,-0.18397976,0.5396026,0.6914149,-0.12271901,0.62275994,-0.20737976,-0.34965324,0.6490564,0.30540472,-27.040039000001343,-11.080078000000867,-355.7294920000004,-323.0,-33.21972699999969,-313.2294920000004,-275.04003900000134,-110.25,-121.9697269999997,-626.4501950000013,-484.94043000000056,-934.2998050000006,-524.2695309999999,-155.51953099999992,-528.2695309999999,-689.7900390000013,-718.7900390000013,-521.900391000001,-400.83007800000087,-1178.509766000001,-693.2998050000006,-712.8896490000006,-1061.1103519999997,-1218.5800780000009,-1588.4599610000005,-2096.849609000001,-2285.8603519999997,-2964.769531,-3092.769531,-2156.349609000001,-0.014723057042668143,0.01832015804643471,0.007823575841353066,0.0023351891617093014,-0.021014618585640604,0.01716125873317864,0.0011187391371098511,0.0060511425127483705,-171.2197269999997,-84.09960899999896,-115.94042999999874,-0.009993285006261475,11499.870117,11715.179688,11499.790039,11715.179688,11715.179688,18.820463075629693,4
2008-09-02,11545.629883,11790.169922,11471.900391,11516.919922,177090000,11516.919922,0.0037296957,0.7343406,0.26192975,-0.25820005,-0.42215133,-0.22657298,-0.6653039,0.7185506,0.3260587,-0.65451455,0.05888617,0.09016676,-0.2579942,0.48606336,0.67360324,-0.12610032,0.5127249,-0.19945341,-0.47900426,0.5734755,0.2570195,15.959961000000476,-328.68945299999905,-295.95996099999866,-6.17968799999835,-286.18945299999905,-248.0,-83.20996099999866,-94.92968799999835,-599.4101559999999,-457.9003909999992,-907.2597659999992,-497.2294919999986,-128.47949199999857,-501.2294919999986,-662.75,-691.75,-494.8603519999997,-373.7900389999995,-1151.4697269999997,-666.2597659999992,-685.8496099999993,-1034.0703129999984,-1191.5400389999995,-1561.4199219999991,-2069.8095699999994,-2258.8203129999984,-2937.7294919999986,-3065.7294919999986,-2129.3095699999994,-2205.9296879999984,-0.002345101447075259,-0.014723057042668143,0.01832015804643471,0.007823575841353066,0.0023351891617093014,-0.021014618585640604,0.01716125873317864,0.0011187391371098511,-27.040039000001343,130.66992199999913,37.530273999998826,0.0032640287091295693,11713.230469,11713.230469,11543.389648,11543.959961,11543.959961,18.932965308945853,1
