date,open,high,low,close,volume,adj_close,pos,neu,neg,pos_minus_neg,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,log_return,target,rsi,macd,h_bollinger,l_bollinger,lag_5,sma_5,ema_5,lag_10,sma_10,ema_10,lag_25,sma_25,ema_25,lag_50,sma_50,ema_50,quarter,dow,q_mean,q_std,q_skew
2008-08-08,11432.089844,11759.959961,11388.040039,11734.320312,212830000,11734.320312,0.7230973,0.08030838,0.19659433,0.52650297,-0.4826264,-0.32823893,-0.6364777,0.6274014,0.29477042,-0.58714217,0.007464528,0.15160984,-0.23254134,0.34841877,0.54322374,-0.17949447,0.5536087,-0.34709236,-0.5188428,0.6842799,0.22748202,,-0.03327818440926763,,,,,,,,,,,,,,,,,3,4,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-11,11729.669922,11867.110352,11675.530273,11782.349609,183190000,11782.349609,0.6957683,0.16889355,0.13533822,0.56043005,-0.5664194,-0.42318806,-0.6520221,0.81234545,0.47435832,-0.71267134,-0.022302754,0.1354617,-0.26123652,0.4847629,0.36377648,-0.22504868,0.52976805,-0.49423167,-0.31702432,0.63330406,0.37793526,0.004084707906469463,-0.014771328418659488,,,,,,,,,,,,,,,,,3,0,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-12,11781.700195,11782.349609,11601.519531,11642.469727,173590000,11642.469727,0.6965325,0.040928558,0.26253894,0.4339936,-0.63132805,-0.30549073,-0.7096013,0.73614067,0.4275154,-0.592481,-0.031220939,0.29569617,-0.27541003,0.38073087,0.38576332,-0.2659968,0.5935487,-0.5341341,-0.39729142,0.66939616,0.23053075,-0.011943020148448598,-0.002675359813175934,,,,,,,,,,,,,,,,,3,1,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-13,11632.80957,11633.780273,11453.339844,11532.959961,182550000,11532.959961,0.83329874,0.003526687,0.16317461,0.67012405,-0.36990073,-0.18417524,-0.7895192,0.6459929,0.35083604,-0.6879727,-0.016423913,0.16684663,-0.2087688,0.38293228,0.77405983,-0.11382559,0.5118051,-0.29871282,-0.34735534,0.68493867,0.29924724,-0.009450576108441923,0.018024709143891406,,,,,,,,,,,,,,,,,3,2,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-14,11532.070312,11718.280273,11450.889648,11615.929688,159790000,11615.929688,0.92861223,0.02242573,0.04896203,0.8796502,-0.48282188,-0.25428838,-0.71607435,0.7755664,0.4161541,-0.75524133,0.06425235,0.03660457,-0.26797968,0.408606,0.5571979,-0.18827981,0.6862463,-0.48363867,-0.34026837,0.71377134,0.2367749,0.007168385485975469,0.010924473922523131,,,,,,,,,,,,,,,,,3,3,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-15,11611.209961,11709.889648,11599.730469,11659.900391,215040000,11659.900391,0.74252707,0.08186794,0.17560495,0.5669221,-0.3834656,-0.17417592,-0.62957364,0.6581685,0.29795766,-0.60933155,0.11571802,0.26616067,-0.21069974,0.29720747,0.47879678,-0.19200501,0.5093787,-0.38499606,-0.5849832,0.59369975,0.2184538,0.0037782330561554295,-0.07234497491630837,,,,,,-0.0012724539616580318,0.0010795985589922787,,,,,,,,,,3,4,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-18,11659.650391,11690.429688,11434.120117,11479.389648,156290000,11479.389648,0.8811536,0.00077148585,0.11807494,0.76307863,-0.56183565,-0.27820033,-0.86656946,0.76297,0.51576215,-0.84290975,0.24679267,0.20473064,-0.24049932,0.3856476,0.70487905,-0.18442284,0.65089446,-0.52186936,-0.41835988,0.6749978,0.16526963,-0.015602415162466429,0.04574774290861477,,,,,0.004084707906469463,-0.005209878575445211,-0.004481072681493957,,,,,,,,,,3,0,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-19,11478.089844,11478.169922,11318.5,11348.549805,171580000,11348.549805,0.9428381,0.042369388,0.014792562,0.9280455,-0.4929562,-0.26233253,-0.75264984,0.76413244,0.49416906,-0.79525316,0.12794475,0.13052128,-0.19994368,0.5644331,0.68980837,-0.14297014,0.6513468,-0.5329137,-0.28865737,0.8392079,0.41120893,-0.011463257648020121,-0.001807037437312443,,,,,-0.011943020148448598,-0.005113926075359515,-0.006808467670336012,,,,,,,,,,3,1,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-20,11345.94043,11454.150391,11290.580078,11417.429688,144880000,11417.429688,0.77223915,0.043196633,0.18456419,0.5876749,-0.54368263,-0.35488877,-0.69400454,0.5969636,0.3984626,-0.5716751,0.08581566,0.28274634,-0.17267917,0.49453384,0.48141184,-0.19834925,0.56160295,-0.47803104,-0.46205303,0.56229657,0.13553734,0.0060511425127483705,-0.03267833338121107,,,,,-0.009450576108441923,-0.0020135823511214556,-0.002521930942641219,,,,,,,,,,3,2,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
2008-08-21,11415.230469,11476.209961,11315.570312,11430.209961,130020000,11430.209961,0.77783525,0.0010487912,0.22111595,0.5567193,-0.5230487,-0.16271809,-0.82303697,0.7253,0.36573032,-0.7110309,0.07665489,0.15426345,-0.28605175,0.4141487,0.6986914,-0.2558819,0.61393964,-0.34611523,-0.43206197,0.5986574,0.10816138,0.0011187391371098511,-0.015135620475359168,,,,,0.007168385485975469,-0.0032235116208945798,-0.0013083742493908625,,,,,,,,,,3,3,4.7933927415997456e-05,0.012293592429874671,-0.8377892890536093
